pmcid,journal,year,title,has_xml,fetch_ok
PMC13061254,Cell,2026,The E3-ome gene-centric compendium reveals the human E3 ligase landscape.,True,True
PMC13025617,Cell,2026,Papuan admixture predated the settlement of Palau.,True,True
PMC13045649,Cell,2026,Citrate clearance is a major function of aconitase 2 in the canonical TCA cycle.,True,True
PMC13075643,Cell,2026,Molecular features of human pathological tau distinguish tauopathy-associated dementias.,True,True
PMC12875305,Cell,2025,Mapping cellular targets of covalent cancer drugs in the entire mammalian body.,True,True
PMC12878702,Cell,2025,Distinct components of mRNA vaccines cooperate to instruct efficient germinal center responses.,True,True
PMC12851904,Cell,2025,The effect of shingles vaccination at different stages of the dementia disease course.,True,True
PMC12695021,Cell,2025,Renal PIEZO2 is an essential regulator of renin.,True,True
PMC12834599,Cell,2025,"Stimulant medications affect arousal and reward, not attention networks.",True,True
PMC7618578,Cell,2025,Mapping chromatin structure at base-pair resolution unveils a unified model of cis-regulatory element interactions.,True,True
PMC12769888,Cell,2025,Bridging single cells to organs: Mesoscale modules as fundamental units of tissue function.,True,True
PMC12767863,Cell,2025,A single-nucleus transcriptomic atlas of the adult Aedes aegypti mosquito.,True,True
PMC12604482,Cell,2025,CRATER tumor niches facilitate CD8&lt;sup&gt;+&lt;/sup&gt; T cell engagement and correspond with immunotherapy success.,True,True
PMC12711333,Cell,2025,Long shared haplotypes identify the southern Urals as a primary source for the 10th-century Hungarians.,True,True
PMC12624571,Cell,2025,Evolution of Mycobacterium tuberculosis transcription regulation is associated with increased transmission and drug resistance.,True,True
PMC12767472,Cell,2025,Safe immunosuppression-resistant pan-cancer immunotherapeutics by velcro-like density-dependent targeting of tumor-associated carbohydrate antigens.,True,True
PMC12851831,Cell,2025,Multiscale proteomic modeling reveals protein networks driving Alzheimer's disease pathogenesis.,True,True
PMC12650760,Cell,2025,Proximity-specific ribosome profiling reveals the logic of localized mitochondrial translation.,True,True
PMC12456302,Cell,2025,Uncovering phenotypic inheritance from single cells with Microcolony-seq.,True,True
PMC12625809,Cell,2025,Imaging high-frequency voltage dynamics in multiple neuron classes of behaving mammals.,True,True
PMC12483331,Cell,2025,Bacteriophages inhibit and evade cGAS-like immune function in bacteria.,True,True
PMC12406974,Cell,2025,RNA Pol II inhibition activates cell death independently from the loss of transcription.,True,True
PMC12360486,Cell,2025,Inner speech in motor cortex and implications for speech neuroprostheses.,True,True
PMC12396113,Cell,2025,Principles of cotranslational mitochondrial protein import.,True,True
PMC12458795,Cell,2025,Molecular and neural control of social hierarchy by a forebrain-thalamocortical circuit.,True,True
PMC12392877,Cell,2025,Highly conserved Betacoronavirus sequences are broadly recognized by human T cells.,True,True
PMC12556654,Cell,2025,Quantifying the varying harvest of fermentation products from the human gut microbiota.,True,True
PMC12573303,Cell,2025,Single-cell multiregion epigenomic rewiring in Alzheimer's disease progression and cognitive resilience.,True,True
PMC12313293,Cell,2025,A mast cell receptor mediates post-stroke brain inflammation via a dural-brain axis.,True,True
PMC13012569,Cell,2025,Human interpretable grammar encodes multicellular systems biology models to democratize virtual cell laboratories.,True,True
PMC7618951,Cell,2025,The essential host genome for Cryptosporidium survival exposes metabolic dependencies that can be leveraged for treatment.,True,True
PMC12702498,Cell,2025,In vivo prime editing rescues alternating hemiplegia of childhood in mice.,True,True
PMC12337775,Cell,2025,Brain endothelial gap junction coupling enables rapid vasodilation propagation during neurovascular coupling.,True,True
PMC12616578,Cell,2025,Imaging high-frequency voltage dynamics in multiple neuron classes of behaving mammals.,True,True
PMC12396346,Cell,2025,Cholinergic neuronal activity promotes diffuse midline glioma growth through muscarinic signaling.,True,True
PMC12551790,Cell,2025,STAMP: Single-cell transcriptomics analysis and multimodal profiling through imaging.,True,True
PMC12324982,Cell,2025,Perturb-Multimodal: A platform for pooled genetic screens with imaging and sequencing in intact mammalian tissue.,True,True
PMC12456964,Cell,2025,Repeat-element RNAs integrate a neuronal growth circuit.,True,True
PMC12255530,Cell,2025,Serotonin transporter inhibits antitumor immunity through regulating the intratumoral serotonin axis.,True,True
PMC12173716,Cell,2025,Design principles of cell-state-specific enhancers in hematopoiesis.,True,True
PMC12173715,Cell,2025,Genomes of critically endangered saola are shaped by population structure and purging.,True,True
PMC12171958,Cell,2025,Conserved genetic basis for microbial colonization of the gut.,True,True
PMC12435897,Cell,2025,Encoding and decoding selectivity and promiscuity in the human chemokine-GPCR interaction network.,True,True
PMC12204802,Cell,2025,Transcriptional regulation by PHGDH drives amyloid pathology in Alzheimer's disease.,True,True
PMC12406711,Cell,2025,Molecular basis for shifted receptor recognition by an encephalitic arbovirus.,True,True
PMC12087876,Cell,2025,Therapeutic potential of allosteric HECT E3 ligase inhibition.,True,True
PMC7617805,Cell,2025,Mechanism of DNA capture by the MukBEF SMC complex and its inhibition by a viral DNA mimic.,True,True
PMC12127698,Cell,2025,Nanoscale DNA tracing reveals the self-organization mechanism of mitotic chromosomes.,True,True
PMC12135205,Cell,2025,"Simultaneous CRISPR screening and spatial transcriptomics reveal intracellular, intercellular, and functional transcriptional circuits.",True,True
PMC11988688,Cell,2025,HIF regulates multiple translated endogenous retroviruses: Implications for cancer immunotherapy.,True,True
PMC11973712,Cell,2025,Contextual computation by competitive protein dimerization networks.,True,True
PMC12186697,Cell,2025,"HypoxyStat, a small-molecule form of hypoxia therapy that increases oxygen-hemoglobin affinity.",True,True
PMC12360793,Cell,2025,Multiple independent acquisitions of ACE2 usage in MERS-related coronaviruses.,True,True
PMC11845252,Cell,2025,Designed mosaic nanoparticles enhance cross-reactive immune responses in mice.,True,True
PMC11813165,Cell,2025,Structural and functional analysis of the Nipah virus polymerase complex.,True,True
PMC11829167,Cell,2025,Trans-ancestry genome-wide study of depression identifies 697 associations implicating cell types and pharmacotherapies.,True,True
PMC12035847,Cell,2025,Cervicovaginal microbiome and natural history of Chlamydia trachomatis in adolescents and young women.,True,True
PMC11845304,Cell,2024,Inflammation switches the chemoattractant requirements for naive lymphocyte entry into lymph nodes.,True,True
PMC12148494,Cell,2024,How to build the virtual cell with artificial intelligence: Priorities and opportunities.,True,True
PMC11645862,Cell,2024,STK19 positions TFIIH for cell-free transcription-coupled DNA repair.,False,False
PMC11645235,Cell,2024,The CRISPR-associated adenosine deaminase Cad1 converts ATP to ITP to provide antiviral immunity.,False,False
PMC12055030,Cell,2024,"PLD3 and PLD4 synthesize S,S-BMP, a key phospholipid enabling lipid degradation in lysosomes.",True,True
PMC11575851,Cell,2024,From periphery to center stage: 50 years of advancements in innate immunity.,False,False
PMC12278908,Cell,2024,Genome integrity sensing by the broad-spectrum Hachiman antiphage defense complex.,True,True
PMC11645210,Cell,2024,A potent pan-sarbecovirus neutralizing antibody resilient to epitope diversification.,True,True
PMC11556180,Cell,2024,"A genome-wide spectrum of tandem repeat expansions in 338,963 humans.",False,False
PMC11624509,Cell,2024,"Brain-body physiology: Local, reflex, and central communication.",True,True
PMC7617105,Cell,2024,Unraveling mechanisms of human brain evolution.,True,True
PMC7617234,Cell,2024,mTOR activity paces human blastocyst stage developmental progression.,True,True
PMC11531390,Cell,2024,CSF proteomics identifies early changes in autosomal dominant Alzheimer's disease.,True,True
PMC12778575,Cell,2024,Fine-grained descending control of steering in walking Drosophila.,True,True
PMC11531391,Cell,2024,Dynamic allostery drives autocrine and paracrine TGF-β signaling.,True,True
PMC7616835,Cell,2024,Co-opting templated aggregation to degrade pathogenic tau assemblies and improve motor function.,True,True
PMC11622829,Cell,2024,Divergent sensory pathways of sneezing and coughing.,True,True
PMC11531380,Cell,2024,"Targeting Ras-, Rho-, and Rab-family GTPases via a conserved cryptic pocket.",True,True
PMC12186284,Cell,2024,Africa in the era of pathogen genomics: Unlocking data barriers.,True,True
PMC11423790,Cell,2024,Structural insights into the diversity and DNA cleavage mechanism of Fanzor.,True,True
PMC11460329,Cell,2024,Mosaic sarbecovirus nanoparticles elicit cross-reactive responses in pre-vaccinated animals.,True,True
PMC12821620,Cell,2024,Mining human microbiomes reveals an untapped source of peptide antibiotics.,True,True
PMC11455614,Cell,2024,Thyroid hormone remodels cortex to coordinate body-wide metabolism and exploration.,True,True
PMC11429459,Cell,2024,Vaginal Lactobacillus fatty acid response mechanisms reveal a metabolite-targeted strategy for bacterial vaginosis treatment.,True,True
PMC11429458,Cell,2024,Macrophage-mediated myelin recycling fuels brain cancer malignancy.,True,True
PMC11416316,Cell,2024,The molecular architecture of the nuclear basket.,True,True
PMC11383432,Cell,2024,The fork protection complex promotes parental histone recycling and epigenetic memory.,True,True
PMC11349380,Cell,2024,Molecular mechanism of distinct chemokine engagement and functional divergence of the human Duffy antigen receptor.,True,True
PMC11349379,Cell,2024,Extensive structural rearrangement of intraflagellar transport trains underpins bidirectional cargo transport.,True,True
PMC11380579,Cell,2024,A replisome-associated histone H3-H4 chaperone required for epigenetic inheritance.,True,True
PMC11383431,Cell,2024,Natural malaria infection elicits rare but potent neutralizing antibodies to the blood-stage antigen RH5.,True,True
PMC11337173,Cell,2024,From periphery to center stage: 50 years of advancements in innate immunity.,False,False
PMC11833509,Cell,2024,Molecular and cellular mechanisms of teneurin signaling in synaptic partner matching.,True,True
PMC12854727,Cell,2024,Human coronavirus HKU1 recognition of the TMPRSS2 host receptor.,True,True
PMC12261959,Cell,2024,The germline coordinates mitokine signaling.,True,True
PMC11961024,Cell,2024,Loss of transient receptor potential channel 5 causes obesity and postpartum depression.,True,True
PMC12352124,Cell,2024,The extracellular matrix integrates mitochondrial homeostasis.,True,True
PMC11290322,Cell,2024,The primitive endoderm supports lineage plasticity to enable regulative development.,True,True
PMC11290321,Cell,2024,Therapeutic potential of co-signaling receptor modulation in hepatitis B.,True,True
PMC11959484,Cell,2024,An atlas of human vector-borne microbe interactions reveals pathogenicity mechanisms.,True,True
PMC11250073,Cell,2024,A pseudoautosomal glycosylation disorder prompts the revision of dolichol biosynthesis.,True,True
PMC11216029,Cell,2024,Minimal and hybrid hydrogenases are active from archaea.,True,True
PMC11246233,Cell,2024,Clonal hematopoiesis driven by mutated DNMT3A promotes inflammatory bone loss.,True,True
PMC11286300,Cell,2024,A neural circuit for male sexual behavior and reward.,False,False
